,,,RR-2D-xy,RR-2D-xy,DET-2D-xy,DET-2D-xy,ENT-2D-xy,ENT-2D-xy
,,,mean,std,mean,std,mean,std
Group,folder,q,,,,,,
AD,13,3,0.0175558707027238,,0.8217270194986073,,1.4391454234475605,
AD,13,4,0.0069485359444117,,0.8546433378196501,,2.152682626082883,
AD,13,5,0.0195337114051669,,0.9516129032258064,,3.1309901861623968,
AD,14,1,0.0085741853427481,,0.782608695652174,,1.9763162280305289,
AD,14,2,0.012864798553719,,0.8193224592220828,,2.272789190587132,
AD,14,3,0.0225931202930999,,0.8547959724430313,,2.731902782528476,
AD,14,4,0.0069953072233673,,0.8307210031347962,,1.8006646948837657,
AD,14,5,0.0111607142857142,,0.8571428571428571,,0.7219280948873623,
AD,15,1,0.0066641035499166,,0.8012820512820513,,1.2810487964969803,
AD,15,2,0.0066178446654125,,0.8629441624365483,,2.2980213069369686,
AD,15,3,0.0086451733716176,,0.8844765342960289,,2.1532912318904804,
AD,15,4,0.0071205925248076,,0.8634538152610441,,1.3921472236645345,
AD,15,5,0.0100206904945433,,0.8947368421052632,,2.675698135367987,
AD,16,1,0.0147433810763888,,0.859245630174793,,2.720737618508811,
AD,16,2,0.0257414170927684,,0.945516458569807,,3.013730917243308,
AD,16,3,0.0108444444444444,,0.9426229508196722,,2.879506460812007,
AD,16,4,0.00754076727307,,0.89375,,2.043062281834816,
AD,16,5,0.0072278911564625,,0.931372549019608,,1.836591668108979,
AD,17,1,0.0084233139239075,,0.8456375838926175,,2.1572820146051264,
AD,17,2,0.0085609934258582,,0.8430034129692833,,0.940144077391452,
AD,17,3,0.0072027920100987,,0.9243986254295532,,2.106603137064474,
AD,17,4,0.0081968722945716,,0.8606741573033708,,1.7993357145624242,
AD,17,5,0.006143273635985,,0.923728813559322,,1.8365916681089791,
AD,18,1,0.005250997689561,,0.8,,0.9637459942073318,
AD,18,2,0.0059035783335573,,0.8388791593695272,,1.940169527029419,
AD,18,3,0.0104960306889019,,0.8781725888324873,,1.086312840741288,
