ADQ_ID,ROI,FixTime,EnterCount,RegressionCount
n14q5,INST_n2q5_1c,3.054999999999999,1,0
n14q5,INST_n2q5_1b,3.176999999999999,6,5
n15q1,KW_n2q1_4,6.112999999999999,2,1
n15q1,INST_n2q1_1,1.9569999999999999,1,0
n15q1,KW_n2q1_1,2.6899999999999995,1,0
n15q1,BG_n2q1,1.221,3,2
n15q1,KW_n2q1_2,2.5679999999999996,1,0
n15q1,KW_n2q1_3,1.834,2,1
n15q2,KW_n2q2_3,2.810999999999999,1,0
n15q2,KW_n2q2_2,1.955,1,0
n15q2,INST_n2q2_1,1.345,1,0
n15q2,BG_n2q2,0.368,2,1
n15q2,KW_n2q2_4,2.1999999999999993,1,0
n15q2,KW_n2q2_1,2.8099999999999996,3,2
n15q3,KW_n2q3_1,2.2009999999999996,3,2
n15q3,INST_n2q3_2,1.9539999999999997,4,3
n15q3,INST_n2q3_1,1.101,1,0
n15q3,BG_n2q3,1.3450000000000002,5,4
n15q3,KW_n2q3_2,1.9539999999999997,3,2
n15q3,KW_n2q3_3,2.201,3,2
n15q4,INST_n2q4_2b,0.98,2,1
n15q4,KW_n2q4_1,29.698000000000004,3,2
n15q4,INST_n2q4_1,0.979,2,1
n15q4,BG_n2q4,0.856,2,1
n15q4,INST_n2q4_2a,2.4449999999999994,1,0
n15q5,BG_n2q5,2.9309999999999996,7,6
n15q5,INST_n2q5_1a,0.978,2,1
n15q5,INST_n2q5_1c,1.3449999999999998,3,2
n15q5,INST_n2q5_1b,1.5899999999999999,3,2
n16q1,KW_n2q1_4,2.810999999999999,1,0
n16q1,INST_n2q1_1,1.103,1,0
n16q1,KW_n2q1_1,1.345,1,0
n16q1,BG_n2q1,0.978,2,1
n16q1,KW_n2q1_2,2.1990000000000003,1,0
n16q1,KW_n2q1_3,1.2240000000000002,2,1
n16q2,KW_n2q2_3,2.6899999999999995,3,2
n16q2,KW_n2q2_2,1.956,1,0
n16q2,INST_n2q2_1,1.467,1,0
n16q2,BG_n2q2,0.366,2,1
