ADQ_ID,ROI,FixTime,EnterCount,RegressionCount
ad13q5,BG_n2q5,9.778999999999995,13,12
ad13q5,INST_n2q5_1a,1.467,4,3
ad13q5,INST_n2q5_1c,3.4219999999999997,5,4
ad13q5,INST_n2q5_1b,4.033999999999999,6,5
ad14q1,KW_n2q1_4,5.2589999999999995,8,7
ad14q1,INST_n2q1_1,3.916999999999999,5,4
ad14q1,KW_n2q1_1,11.12299999999999,19,18
ad14q1,BG_n2q1,6.481999999999998,19,18
ad14q1,KW_n2q1_2,3.1800000000000024,7,6
ad14q1,KW_n2q1_3,8.922999999999996,14,13
ad14q2,KW_n2q2_3,8.924999999999994,9,8
ad14q2,KW_n2q2_2,10.877999999999991,7,6
ad14q2,INST_n2q2_1,0.123,1,0
ad14q2,BG_n2q2,3.296999999999999,12,11
ad14q2,KW_n2q2_4,6.968000000000002,7,6
ad14q2,KW_n2q2_1,14.179999999999987,8,7
ad14q3,KW_n2q3_1,10.021999999999993,13,12
ad14q3,INST_n2q3_2,3.665999999999995,6,5
ad14q3,INST_n2q3_1,2.318999999999999,2,1
ad14q3,BG_n2q3,7.461,19,18
ad14q3,KW_n2q3_2,3.9109999999999987,11,10
ad14q3,KW_n2q3_3,10.021999999999997,11,10
ad14q4,INST_n2q4_2b,11.247999999999996,9,8
ad14q4,KW_n2q4_1,6.478,7,6
ad14q4,INST_n2q4_1,6.356000000000002,6,5
ad14q4,BG_n2q4,9.408999999999992,20,19
ad14q4,INST_n2q4_2a,7.091000000000001,12,11
ad14q5,BG_n2q5,5.008999999999999,9,8
ad14q5,INST_n2q5_1a,5.134999999999999,6,5
ad14q5,INST_n2q5_1c,1.224,3,2
ad14q5,INST_n2q5_1b,3.545,8,7
ad15q1,KW_n2q1_4,6.480000000000002,14,13
ad15q1,INST_n2q1_1,5.380999999999999,8,7
ad15q1,KW_n2q1_1,5.8669999999999956,15,14
ad15q1,BG_n2q1,10.025999999999991,29,28
ad15q1,KW_n2q1_2,2.4459999999999997,6,5
ad15q1,KW_n2q1_3,10.143999999999997,17,16
ad15q2,KW_n2q2_3,5.744999999999998,9,8
ad15q2,KW_n2q2_2,4.403,8,7
ad15q2,INST_n2q2_1,3.792,7,6
