ADQ_ID,ROI,FixTime,EnterCount,RegressionCount,Group
m6q2,KW_n2q2_2,7.087,12,11,mci
m6q2,INST_n2q2_1,4.889999999999998,7,6,mci
m6q2,BG_n2q2,4.160999999999999,17,16,mci
m6q2,KW_n2q2_4,5.619999999999997,9,8,mci
m6q2,KW_n2q2_1,6.477000000000002,9,8,mci
m6q3,KW_n2q3_1,1.2239999999999998,3,2,mci
m6q3,INST_n2q3_2,2.445,3,2,mci
m6q3,INST_n2q3_1,1.222,1,0,mci
m6q3,BG_n2q3,1.9549999999999992,4,3,mci
m6q3,KW_n2q3_2,1.343,3,2,mci
m6q3,KW_n2q3_3,3.055,5,4,mci
m6q4,INST_n2q4_2b,6.968999999999999,11,10,mci
m6q4,KW_n2q4_1,16.501999999999985,17,16,mci
m6q4,INST_n2q4_1,4.887999999999998,9,8,mci
m6q4,BG_n2q4,7.822999999999999,25,24,mci
m6q4,INST_n2q4_2a,16.618999999999986,19,18,mci
m6q5,BG_n2q5,5.865999999999998,9,8,mci
m6q5,INST_n2q5_1a,2.2029999999999994,4,3,mci
m6q5,INST_n2q5_1c,2.6899999999999995,4,3,mci
m6q5,INST_n2q5_1b,2.932999999999999,3,2,mci
m7q1,KW_n2q1_4,3.422999999999999,6,5,mci
m7q1,INST_n2q1_1,7.340999999999998,7,6,mci
m7q1,KW_n2q1_1,6.481999999999998,16,15,mci
m7q1,BG_n2q1,11.615999999999993,23,22,mci
m7q1,KW_n2q1_2,5.495999999999999,15,14,mci
m7q1,KW_n2q1_3,4.767999999999999,9,8,mci
m7q2,KW_n2q2_3,1.101,5,4,mci
m7q2,KW_n2q2_2,5.376000000000001,6,5,mci
m7q2,INST_n2q2_1,2.811,3,2,mci
m7q2,BG_n2q2,4.521999999999999,14,13,mci
m7q2,KW_n2q2_4,3.546,5,4,mci
m7q2,KW_n2q2_1,4.523999999999997,8,7,mci
m7q3,KW_n2q3_1,0.244,1,0,mci
m7q3,INST_n2q3_2,2.4419999999999997,4,3,mci
m7q3,INST_n2q3_1,5.134,4,3,mci
m7q3,BG_n2q3,4.889999999999999,10,9,mci
m7q3,KW_n2q3_2,1.4670000000000003,2,1,mci
m7q3,KW_n2q3_3,2.1999999999999984,4,3,mci
m7q4,INST_n2q4_2b,4.6410000000000045,7,6,mci
m7q4,KW_n2q4_1,14.057999999999986,9,8,mci
m7q4,INST_n2q4_1,3.5439999999999987,7,6,mci
m7q4,BG_n2q4,10.631999999999993,25,24,mci
m7q4,INST_n2q4_2a,13.203999999999985,20,19,mci
m7q5,BG_n2q5,8.920999999999998,19,18,mci
