ADQ_ID,ROI,FixTime,EnterCount,RegressionCount
m12q4,KW_n2q4_1,4.643999999999999,6,5
m12q4,INST_n2q4_1,0.857,4,3
m12q4,BG_n2q4,7.327999999999998,21,20
m12q4,INST_n2q4_2a,5.989999999999998,7,6
m12q5,BG_n2q5,2.5669999999999993,7,6
m12q5,INST_n2q5_1a,1.7109999999999999,2,1
m12q5,INST_n2q5_1c,0.122,1,0
m12q5,INST_n2q5_1b,1.5889999999999997,4,3
m13q1,KW_n2q1_4,2.8099999999999996,5,4
m13q1,INST_n2q1_1,0.612,2,1
m13q1,KW_n2q1_1,8.925999999999997,6,5
m13q1,BG_n2q1,12.226999999999993,19,18
m13q1,KW_n2q1_2,1.9559999999999989,4,3
m13q1,KW_n2q1_3,2.8119999999999976,9,8
m13q2,KW_n2q2_3,5.987999999999999,7,6
m13q2,KW_n2q2_2,3.421999999999999,6,5
m13q2,INST_n2q2_1,3.421999999999999,4,3
m13q2,BG_n2q2,3.426999999999998,14,13
m13q2,KW_n2q2_4,3.666999999999999,6,5
m13q2,KW_n2q2_1,7.0889999999999995,13,12
m13q3,KW_n2q3_1,1.9539999999999997,3,2
m13q3,INST_n2q3_2,2.078,2,1
m13q3,INST_n2q3_1,1.467,1,0
m13q3,BG_n2q3,0.368,3,2
m13q3,KW_n2q3_2,0.979,2,1
m13q3,KW_n2q3_3,1.589,4,3
m13q4,INST_n2q4_2b,6.8439999999999985,7,6
m13q4,KW_n2q4_1,23.957999999999995,13,12
m13q4,INST_n2q4_1,2.323999999999998,7,6
m13q4,BG_n2q4,5.622999999999999,18,17
m13q4,INST_n2q4_2a,10.387999999999995,12,11
m13q5,BG_n2q5,5.015,7,6
m13q5,INST_n2q5_1a,0.244,1,0
m13q5,INST_n2q5_1c,0.733,4,3
m13q5,INST_n2q5_1b,1.588,4,3
m14q1,KW_n2q1_4,5.622999999999998,2,1
m14q1,INST_n2q1_1,0.741,1,0
m14q1,KW_n2q1_1,6.479999999999999,1,0
m14q1,BG_n2q1,1.5910000000000002,7,6
m14q1,KW_n2q1_2,7.579999999999998,5,4
m14q1,KW_n2q1_3,7.210999999999997,3,2
m14q2,KW_n2q2_3,5.744999999999998,3,2
m14q2,KW_n2q2_2,6.233999999999999,2,1
m14q2,INST_n2q2_1,2.688999999999999,1,0
m14q2,BG_n2q2,1.3439999999999999,4,3
m14q2,KW_n2q2_4,9.166999999999998,3,2
m14q2,KW_n2q2_1,16.746999999999986,5,4
m14q3,KW_n2q3_1,3.299999999999999,3,2
m14q3,INST_n2q3_2,4.522999999999999,1,0
m14q3,INST_n2q3_1,2.5679999999999996,2,1
m14q3,BG_n2q3,1.9560000000000013,7,6
m14q3,KW_n2q3_2,3.544999999999999,5,4
m14q3,KW_n2q3_3,6.966999999999998,7,6
m14q4,INST_n2q4_2b,3.7909999999999995,5,4
m14q4,KW_n2q4_1,20.535999999999994,12,11
m14q4,INST_n2q4_1,7.745999999999999,7,6
m14q4,BG_n2q4,4.898999999999999,14,13
m14q4,INST_n2q4_2a,5.499999999999999,10,9
m14q5,BG_n2q5,2.690999999999999,9,8
m14q5,INST_n2q5_1a,0.367,1,0
m14q5,INST_n2q5_1c,2.0759999999999996,7,6
m14q5,INST_n2q5_1b,3.3009999999999993,5,4
m15q1,KW_n2q1_4,0.244,1,0
m15q1,INST_n2q1_1,0.741,1,0
m15q1,KW_n2q1_1,10.881999999999993,4,3
m15q1,BG_n2q1,3.1789999999999994,8,7
m15q1,KW_n2q1_2,8.801999999999998,6,5
m15q1,KW_n2q1_3,15.414999999999983,2,1
