session_id,roi_type,total_fixation_time_seconds,total_fixation_time_normalized,fixation_time_percentage,fixation_time_percentage_normalized,enter_count,regression_count
ad14q5,BG,5.009,0.2111,0.3359,0.3359,9,8
ad15q1,KW,24.937,1.0,0.6108,0.6108,52,48
ad15q1,INST,5.381,0.2267,0.1318,0.1318,8,7
ad15q1,BG,10.026,0.4225,0.2456,0.2456,29,28
ad15q2,KW,22.98,0.9683,0.7015,0.7015,34,30
ad15q2,INST,3.792,0.1598,0.1158,0.1158,7,6
ad15q2,BG,4.643,0.1956,0.1417,0.1417,17,16
ad15q3,KW,11.005,0.4637,0.4287,0.4287,22,19
ad15q3,INST,8.186,0.3449,0.3189,0.3189,8,6
ad15q3,BG,5.746,0.2421,0.2238,0.2238,12,11
ad15q4,KW,2.199,0.0927,0.0844,0.0844,6,5
ad15q4,INST,15.041,0.6338,0.5776,0.5776,22,19
ad15q4,BG,8.43,0.3552,0.3237,0.3237,16,15
ad15q5,KW,0.0,0.0,0.0,0.0,0,0
ad15q5,INST,14.179,0.5975,0.5771,0.5771,29,26
ad15q5,BG,9.779,0.4121,0.398,0.398,23,22
ad16q1,KW,43.147,1.0,0.8344,0.8344,30,26
ad16q1,INST,2.2,0.0927,0.0425,0.0425,2,1
ad16q1,BG,4.773,0.2011,0.0923,0.0923,13,12
ad16q2,KW,18.826,0.7933,0.7441,0.7441,19,15
ad16q2,INST,3.789,0.1597,0.1498,0.1498,6,5
ad16q2,BG,2.199,0.0927,0.0869,0.0869,9,8
ad16q3,KW,3.91,0.1648,0.1849,0.1849,9,6
ad16q3,INST,9.898,0.4171,0.468,0.468,14,12
ad16q3,BG,7.094,0.2989,0.3354,0.3354,16,15
ad16q4,KW,4.523,0.1906,0.1581,0.1581,6,5
ad16q4,INST,18.947,0.7984,0.6625,0.6625,19,16
ad16q4,BG,4.275,0.1801,0.1495,0.1495,15,14
ad16q5,KW,0.0,0.0,0.0,0.0,0,0
ad16q5,INST,13.567,0.5717,0.6167,0.6167,25,22
ad16q5,BG,8.19,0.3451,0.3723,0.3723,18,17
ad17q1,KW,22.617,0.953,0.627,0.627,37,33
ad17q1,INST,3.552,0.1497,0.0985,0.0985,2,1
ad17q1,BG,9.658,0.407,0.2678,0.2678,16,15
ad17q2,KW,16.622,0.7004,0.6181,0.6181,28,24
ad17q2,INST,5.5,0.2318,0.2045,0.2045,12,11
ad17q2,BG,4.158,0.1752,0.1546,0.1546,14,13
ad17q3,KW,10.024,0.4224,0.3711,0.3711,22,19
ad17q3,INST,10.266,0.4326,0.3801,0.3801,14,12
ad17q3,BG,6.233,0.2626,0.2308,0.2308,17,16
ad17q4,KW,5.624,0.237,0.171,0.171,7,6
ad17q4,INST,20.287,0.8548,0.617,0.617,31,28
ad17q4,BG,6.361,0.268,0.1935,0.1935,22,21
ad17q5,KW,0.0,0.0,0.0,0.0,0,0
ad17q5,INST,11.975,0.5046,0.4205,0.4205,35,32
ad17q5,BG,16.262,0.6852,0.571,0.571,28,27
ad18q1,KW,18.7,0.788,0.4779,0.4779,54,50
ad18q1,INST,5.142,0.2167,0.1314,0.1314,10,9
ad18q1,BG,14.796,0.6235,0.3781,0.3781,31,30
ad18q2,KW,21.408,0.9021,0.4693,0.4693,46,42
ad18q2,INST,9.539,0.402,0.2091,0.2091,19,18
ad18q2,BG,14.302,0.6027,0.3135,0.3135,45,44
ad18q3,KW,6.843,0.2883,0.3636,0.3636,17,14
ad18q3,INST,4.28,0.1803,0.2274,0.2274,10,8
ad18q3,BG,7.579,0.3194,0.4027,0.4027,14,13
ad18q4,KW,7.7,0.3245,0.1821,0.1821,11,10
ad18q4,INST,22.982,0.9684,0.5434,0.5434,35,32
ad18q4,BG,11.0,0.4635,0.2601,0.2601,27,26
ad18q5,KW,0.0,0.0,0.0,0.0,0,0
ad18q5,INST,11.124,0.4687,0.5483,0.5483,28,25
ad18q5,BG,9.166,0.3862,0.4517,0.4517,22,21
ad19q1,KW,16.754,0.706,0.6117,0.6117,42,38
ad19q1,INST,3.185,0.1342,0.1163,0.1163,5,4
ad19q1,BG,7.087,0.2986,0.2587,0.2587,24,23
ad19q2,KW,13.323,0.5614,0.6194,0.6194,30,26
ad19q2,INST,2.078,0.0876,0.0966,0.0966,5,4
ad19q2,BG,5.501,0.2318,0.2557,0.2557,17,16
ad19q3,KW,8.925,0.3761,0.3477,0.3477,16,13
ad19q3,INST,10.142,0.4274,0.3951,0.3951,7,5
ad19q3,BG,4.279,0.1803,0.1667,0.1667,13,12
ad19q4,KW,5.991,0.2524,0.1809,0.1809,10,9
ad19q4,INST,18.704,0.7881,0.5647,0.5647,30,27
ad19q4,BG,8.186,0.3449,0.2472,0.2472,17,16
ad19q5,KW,0.0,0.0,0.0,0.0,0,0
ad19q5,INST,10.511,0.4429,0.5889,0.5889,20,17
ad19q5,BG,7.213,0.3039,0.4041,0.4041,14,13
ad20q1,KW,15.766,0.6643,0.5681,0.5681,37,33
ad20q1,INST,2.323,0.0979,0.0837,0.0837,5,4
ad20q1,BG,9.419,0.3969,0.3394,0.3394,19,18
ad20q2,KW,15.161,0.6389,0.5212,0.5212,33,29
ad20q2,INST,4.767,0.2009,0.1639,0.1639,5,4
ad20q2,BG,8.186,0.3449,0.2814,0.2814,20,19
ad20q3,KW,9.781,0.4121,0.447,0.447,21,18
ad20q3,INST,6.234,0.2627,0.2849,0.2849,7,5
ad20q3,BG,5.62,0.2368,0.2569,0.2569,16,15
ad20q4,KW,5.502,0.2318,0.1438,0.1438,8,7
ad20q4,INST,25.541,1.0,0.6676,0.6676,33,30
ad20q4,BG,6.237,0.2628,0.163,0.163,21,20
ad20q5,KW,0.0,0.0,0.0,0.0,0,0
ad20q5,INST,3.909,0.1647,0.2806,0.2806,11,8
ad20q5,BG,9.659,0.407,0.6934,0.6934,10,9
ad21q1,KW,9.051,0.3814,0.5828,0.5828,19,15
ad21q1,INST,0.491,0.0207,0.0316,0.0316,2,1
ad21q1,BG,5.743,0.242,0.3698,0.3698,12,11
ad21q2,KW,11.247,0.4739,0.5351,0.5351,27,23
ad21q2,INST,3.422,0.1442,0.1628,0.1628,6,5
ad21q2,BG,6.11,0.2575,0.2907,0.2907,18,17
ad21q3,KW,4.035,0.17,0.2685,0.2685,15,12
ad21q3,INST,7.946,0.3348,0.5287,0.5287,10,8
ad21q3,BG,2.809,0.1184,0.1869,0.1869,13,12
ad21q4,KW,2.814,0.1186,0.13,0.13,4,3
ad21q4,INST,10.88,0.4585,0.5028,0.5028,21,18
ad21q4,BG,7.454,0.3141,0.3445,0.3445,19,18
ad21q5,KW,0.0,0.0,0.0,0.0,0,0
ad21q5,INST,9.532,0.4017,0.5304,0.5304,19,16
ad21q5,BG,8.316,0.3504,0.4628,0.4628,17,16
ad22q1,KW,11.615,0.4894,0.7143,0.7143,29,25
ad22q1,INST,2.324,0.0979,0.1429,0.1429,2,1
ad22q1,BG,2.079,0.0876,0.1279,0.1279,11,10
ad22q2,KW,14.669,0.6181,0.8109,0.8109,26,22
ad22q2,INST,1.223,0.0515,0.0676,0.0676,2,1
ad22q2,BG,2.078,0.0876,0.1149,0.1149,13,12
ad22q3,KW,4.888,0.206,0.3006,0.3006,11,8
ad22q3,INST,8.558,0.3606,0.5263,0.5263,11,9
ad22q3,BG,2.567,0.1082,0.1579,0.1579,11,10
ad22q4,KW,5.623,0.2369,0.1723,0.1723,5,4
ad22q4,INST,19.309,0.8136,0.5916,0.5916,24,21
ad22q4,BG,6.848,0.2886,0.2098,0.2098,17,16
ad22q5,KW,0.0,0.0,0.0,0.0,0,0
ad22q5,INST,15.397,0.6488,0.5623,0.5623,27,24
ad22q5,BG,11.863,0.4999,0.4333,0.4333,24,23
ad3q1,KW,46.456,1.0,0.7984,0.7984,38,34
ad3q1,INST,6.235,0.2627,0.1071,0.1071,3,2
ad3q1,BG,2.931,0.1235,0.0504,0.0504,15,14
ad3q2,KW,20.171,0.85,0.5957,0.5957,31,27
ad3q2,INST,4.4,0.1854,0.1299,0.1299,8,7
ad3q2,BG,8.801,0.3709,0.2599,0.2599,21,20
ad3q3,KW,7.704,0.3246,0.3299,0.3299,13,10
ad3q3,INST,9.042,0.381,0.3872,0.3872,8,6
ad3q3,BG,6.116,0.2577,0.2619,0.2619,14,13
ad3q4,KW,9.172,0.3865,0.1778,0.1778,9,8
ad3q4,INST,31.179,1.0,0.6042,0.6042,39,36
ad3q4,BG,9.781,0.4121,0.1896,0.1896,28,27
ad3q5,KW,0.0,0.0,0.0,0.0,0,0
ad3q5,INST,11.74,0.4947,0.4851,0.4851,25,22
ad3q5,BG,12.219,0.5149,0.5049,0.5049,23,22
ad4q1,KW,30.93,1.0,0.6389,0.6389,57,53
ad4q1,INST,2.572,0.1084,0.0531,0.0531,7,6
ad4q1,BG,14.296,0.6024,0.2953,0.2953,37,36
ad4q2,KW,53.413,1.0,0.6807,0.6807,70,66
ad4q2,INST,5.501,0.2318,0.0701,0.0701,10,9
ad4q2,BG,17.108,0.7209,0.218,0.218,40,39
ad4q3,KW,7.087,0.2986,0.2761,0.2761,11,8
ad4q3,INST,10.39,0.4378,0.4048,0.4048,12,10
ad4q3,BG,7.093,0.2989,0.2763,0.2763,15,14
ad4q4,KW,8.068,0.34,0.1794,0.1794,7,6
ad4q4,INST,28.843,1.0,0.6412,0.6412,34,31
ad4q4,BG,6.966,0.2935,0.1549,0.1549,28,27
ad4q5,KW,0.0,0.0,0.0,0.0,0,0
ad4q5,INST,14.79,0.6232,0.4745,0.4745,28,25
ad4q5,BG,16.133,0.6798,0.5176,0.5176,22,21
ad5q1,KW,16.623,0.7005,0.5937,0.5937,34,30
ad5q1,INST,1.101,0.0464,0.0393,0.0393,1,0
ad5q1,BG,8.318,0.3505,0.2971,0.2971,19,18
ad5q2,KW,12.713,0.5357,0.5842,0.5842,32,28
ad5q2,INST,3.668,0.1546,0.1686,0.1686,3,2
ad5q2,BG,5.011,0.2112,0.2303,0.2303,18,17
ad5q3,KW,6.601,0.2782,0.2769,0.2769,12,9
ad5q3,INST,9.044,0.3811,0.3794,0.3794,10,8
ad5q3,BG,7.58,0.3194,0.318,0.318,13,12
ad5q4,KW,4.033,0.1699,0.0786,0.0786,4,3
ad5q4,INST,32.025,1.0,0.6238,0.6238,33,30
ad5q4,BG,13.447,0.5666,0.2619,0.2619,28,27
ad5q5,KW,0.0,0.0,0.0,0.0,0,0
ad5q5,INST,13.69,0.5769,0.5989,0.5989,17,14
ad5q5,BG,9.046,0.3812,0.3957,0.3957,15,14
ad6q1,KW,34.724,1.0,0.6081,0.6081,58,54
ad6q1,INST,3.313,0.1396,0.058,0.058,5,4
ad6q1,BG,18.334,0.7726,0.3211,0.3211,42,41
ad6q2,KW,21.03,0.8862,0.6566,0.6566,41,37
ad6q2,INST,2.321,0.0978,0.0725,0.0725,7,6
ad6q2,BG,7.943,0.3347,0.248,0.248,23,22
ad6q3,KW,7.82,0.3295,0.2723,0.2723,21,18
ad6q3,INST,10.636,0.4482,0.3703,0.3703,16,14
ad6q3,BG,9.654,0.4068,0.3361,0.3361,25,24
ad6q4,KW,9.05,0.3813,0.2062,0.2062,10,9
ad6q4,INST,19.194,0.8088,0.4374,0.4374,39,36
ad6q4,BG,14.293,0.6023,0.3257,0.3257,36,35
ad6q5,KW,0.0,0.0,0.0,0.0,0,0
ad6q5,INST,9.168,0.3863,0.6816,0.6816,13,10
ad6q5,BG,3.911,0.1648,0.2908,0.2908,9,8
ad7q1,KW,16.503,0.6954,0.5336,0.5336,35,31
ad7q1,INST,3.914,0.1649,0.1265,0.1265,8,7
ad7q1,BG,10.392,0.4379,0.336,0.336,22,21
ad7q2,KW,22.736,0.958,0.655,0.655,41,37
ad7q2,INST,2.198,0.0926,0.0633,0.0633,3,2
ad7q2,BG,9.045,0.3811,0.2606,0.2606,23,22
ad7q3,KW,4.888,0.206,0.2897,0.2897,11,8
ad7q3,INST,7.947,0.3349,0.4711,0.4711,11,9
ad7q3,BG,4.034,0.17,0.2391,0.2391,11,10
ad7q4,KW,6.113,0.2576,0.1985,0.1985,7,6
ad7q4,INST,16.503,0.6954,0.5358,0.5358,25,22
ad7q4,BG,7.7,0.3245,0.25,0.25,20,19
ad7q5,KW,0.0,0.0,0.0,0.0,0,0
ad7q5,INST,12.957,0.546,0.5638,0.5638,27,24
ad7q5,BG,9.658,0.407,0.4203,0.4203,25,24
ad8q1,KW,17.852,0.7522,0.5428,0.5428,42,38
ad8q1,INST,5.749,0.2423,0.1748,0.1748,7,6
ad8q1,BG,8.921,0.3759,0.2712,0.2712,28,27
ad8q2,KW,9.408,0.3964,0.4999,0.4999,18,14
ad8q2,INST,4.034,0.17,0.2143,0.2143,4,3
ad8q2,BG,4.77,0.201,0.2535,0.2535,13,12
ad8q3,KW,14.3,0.6026,0.3578,0.3578,35,32
ad8q3,INST,14.916,0.6285,0.3732,0.3732,18,16
ad8q3,BG,9.901,0.4172,0.2477,0.2477,24,23
ad8q4,KW,3.305,0.1393,0.1502,0.1502,5,4
ad8q4,INST,10.628,0.4478,0.4831,0.4831,22,19
ad8q4,BG,7.947,0.3349,0.3612,0.3612,14,13
ad8q5,KW,0.0,0.0,0.0,0.0,0,0
ad8q5,INST,18.826,0.7933,0.5969,0.5969,34,31
ad8q5,BG,12.343,0.5201,0.3913,0.3913,28,27
ad9q1,KW,17.608,0.742,0.5715,0.5715,33,29
ad9q1,INST,2.079,0.0876,0.0675,0.0675,2,1
ad9q1,BG,10.512,0.443,0.3412,0.3412,17,16
ad9q2,KW,6.846,0.2885,0.4787,0.4787,15,11
ad9q2,INST,2.932,0.1235,0.205,0.205,2,1
ad9q2,BG,4.401,0.1854,0.3078,0.3078,7,6
ad9q3,KW,8.189,0.3451,0.3661,0.3661,14,11
ad9q3,INST,10.757,0.4533,0.4809,0.4809,6,4
ad9q3,BG,2.935,0.1237,0.1312,0.1312,6,5
ad9q4,KW,3.669,0.1546,0.0938,0.0938,6,5
ad9q4,INST,20.3,0.8554,0.5189,0.5189,29,26
ad9q4,BG,14.295,0.6024,0.3654,0.3654,26,25
ad9q5,KW,0.0,0.0,0.0,0.0,0,0
ad9q5,INST,10.392,0.4379,0.7142,0.7142,20,17
ad9q5,BG,4.155,0.1751,0.2856,0.2856,14,13
m10q1,KW,32.155,1.0,0.8974,0.8974,15,11
m10q1,INST,0.619,0.0261,0.0173,0.0173,1,0
m10q1,BG,1.956,0.0824,0.0546,0.0546,7,6
m10q2,KW,35.569,1.0,0.795,0.795,37,33
m10q2,INST,5.5,0.2318,0.1229,0.1229,3,2
m10q2,BG,3.301,0.1391,0.0738,0.0738,18,17
m10q3,KW,9.778,0.412,0.4371,0.4371,15,12
m10q3,INST,8.555,0.3605,0.3824,0.3824,5,3
m10q3,BG,3.058,0.1289,0.1367,0.1367,9,8
m10q4,KW,32.639,1.0,0.4286,0.4286,20,19
m10q4,INST,29.582,1.0,0.3885,0.3885,44,41
m10q4,BG,11.002,0.4636,0.1445,0.1445,28,27
m10q5,KW,0.0,0.0,0.0,0.0,0,0
m10q5,INST,4.157,0.1752,0.4789,0.4789,11,8
m10q5,BG,4.522,0.1905,0.521,0.521,9,8
m11q1,KW,31.051,1.0,0.8493,0.8493,17,13
m11q1,INST,0.373,0.0157,0.0102,0.0102,2,1
m11q1,BG,3.916,0.165,0.1071,0.1071,11,10
m11q2,KW,47.915,1.0,0.8672,0.8672,27,23
m11q2,INST,2.567,0.1082,0.0465,0.0465,4,3
m11q2,BG,2.326,0.098,0.0421,0.0421,13,12
m11q3,KW,5.136,0.2164,0.3752,0.3752,6,3
m11q3,INST,5.379,0.2267,0.3929,0.3929,3,1
m11q3,BG,2.321,0.0978,0.1695,0.1695,5,4
m11q4,KW,11.123,0.4687,0.2161,0.2161,12,11
m11q4,INST,29.091,1.0,0.5653,0.5653,35,32
m11q4,BG,9.78,0.4121,0.1901,0.1901,25,24
m11q5,KW,0.0,0.0,0.0,0.0,0,0
m11q5,INST,8.921,0.3759,0.5175,0.5175,15,12
m11q5,BG,7.824,0.3297,0.4538,0.4538,13,12
m12q1,KW,12.842,0.5411,0.536,0.536,27,23
m12q1,INST,0.733,0.0309,0.0306,0.0306,2,1
m12q1,BG,9.41,0.3965,0.3927,0.3927,20,19
m12q2,KW,9.045,0.3811,0.8509,0.8509,7,3
m12q2,INST,0.733,0.0309,0.069,0.069,1,0
m12q2,BG,0.489,0.0206,0.046,0.046,3,2
m12q3,KW,8.679,0.3657,0.3717,0.3717,25,22
m12q3,INST,10.755,0.4532,0.4606,0.4606,9,7
m12q3,BG,3.67,0.1546,0.1572,0.1572,17,16
m12q4,KW,4.644,0.1957,0.1659,0.1659,6,5
m12q4,INST,13.208,0.5566,0.4719,0.4719,22,19
m12q4,BG,7.328,0.3088,0.2618,0.2618,21,20
m12q5,KW,0.0,0.0,0.0,0.0,0,0
m12q5,INST,3.422,0.1442,0.5713,0.5713,7,4
m12q5,BG,2.567,0.1082,0.4285,0.4285,7,6
m13q1,KW,16.504,0.6954,0.5357,0.5357,24,20
m13q1,INST,0.612,0.0258,0.0199,0.0199,2,1
m13q1,BG,12.227,0.5152,0.3969,0.3969,19,18
m13q2,KW,20.166,0.8498,0.7236,0.7236,32,28
m13q2,INST,3.422,0.1442,0.1228,0.1228,4,3
m13q2,BG,3.427,0.1444,0.123,0.123,14,13
m13q3,KW,4.522,0.1905,0.5283,0.5283,9,6
m13q3,INST,3.545,0.1494,0.4141,0.4141,3,1
m13q3,BG,0.368,0.0155,0.043,0.043,3,2
m13q4,KW,23.958,1.0,0.4734,0.4734,13,12
m13q4,INST,19.556,0.824,0.3864,0.3864,26,23
m13q4,BG,5.623,0.2369,0.1111,0.1111,18,17
m13q5,KW,0.0,0.0,0.0,0.0,0,0
m13q5,INST,2.565,0.1081,0.3331,0.3331,9,6
m13q5,BG,5.015,0.2113,0.6513,0.6513,7,6
m14q1,KW,26.894,1.0,0.8905,0.8905,11,7
m14q1,INST,0.741,0.0312,0.0245,0.0245,1,0
m14q1,BG,1.591,0.067,0.0527,0.0527,7,6
m14q2,KW,37.893,1.0,0.8683,0.8683,13,9
m14q2,INST,2.689,0.1133,0.0616,0.0616,1,0
m14q2,BG,1.344,0.0566,0.0308,0.0308,4,3
m14q3,KW,13.812,0.582,0.5885,0.5885,15,12
m14q3,INST,7.091,0.2988,0.3021,0.3021,3,1
m14q3,BG,1.956,0.0824,0.0833,0.0833,7,6
m14q4,KW,20.536,0.8653,0.4713,0.4713,12,11
m14q4,INST,17.037,0.7179,0.391,0.391,22,19
m14q4,BG,4.899,0.2064,0.1124,0.1124,14,13
m14q5,KW,0.0,0.0,0.0,0.0,0,0
m14q5,INST,5.744,0.242,0.6618,0.6618,13,10
m14q5,BG,2.691,0.1134,0.31,0.31,9,8
m15q1,KW,35.343,1.0,0.8652,0.8652,13,9
m15q1,INST,0.741,0.0312,0.0181,0.0181,1,0
m15q1,BG,3.179,0.134,0.0778,0.0778,8,7
m15q2,KW,23.225,0.9786,0.7116,0.7116,15,11
m15q2,INST,6.724,0.2833,0.206,0.206,7,6
m15q2,BG,1.712,0.0721,0.0525,0.0525,6,5
m15q3,KW,14.424,0.6078,0.5756,0.5756,17,14
m15q3,INST,6.722,0.2833,0.2682,0.2682,6,4
m15q3,BG,2.934,0.1236,0.1171,0.1171,10,9
m15q4,KW,62.951,1.0,0.6978,0.6978,19,18
m15q4,INST,19.552,0.8239,0.2167,0.2167,32,29
m15q4,BG,4.404,0.1856,0.0488,0.0488,15,14
m15q5,KW,0.0,0.0,0.0,0.0,0,0
m15q5,INST,5.745,0.2421,0.5947,0.5947,7,4
m15q5,BG,3.667,0.1545,0.3796,0.3796,6,5
m16q1,KW,11.495,0.4844,0.6912,0.6912,10,6
m16q1,INST,0.979,0.0413,0.0589,0.0589,2,1
m16q1,BG,3.668,0.1546,0.2206,0.2206,7,6
m16q2,KW,11.734,0.4944,0.6906,0.6906,16,12
m16q2,INST,1.955,0.0824,0.1151,0.1151,3,2
m16q2,BG,3.058,0.1289,0.18,0.18,7,6
m16q3,KW,11.24,0.4736,0.5821,0.5821,22,19
m16q3,INST,3.913,0.1649,0.2026,0.2026,5,3
m16q3,BG,3.426,0.1444,0.1774,0.1774,9,8
m16q4,KW,7.7,0.3245,0.248,0.248,5,4
m16q4,INST,17.725,0.7469,0.5709,0.5709,21,18
m16q4,BG,4.887,0.2059,0.1574,0.1574,13,12
m16q5,KW,0.0,0.0,0.0,0.0,0,0
m16q5,INST,5.377,0.2266,0.7584,0.7584,6,3
m16q5,BG,1.712,0.0721,0.2415,0.2415,3,2
m17q1,KW,6.236,0.2628,0.5664,0.5664,12,8
m17q1,INST,1.835,0.0773,0.1667,0.1667,5,4
m17q1,BG,2.813,0.1185,0.2555,0.2555,7,6
m17q2,KW,4.158,0.1752,0.523,0.523,15,11
m17q2,INST,2.201,0.0927,0.2769,0.2769,5,4
m17q2,BG,1.587,0.0669,0.1996,0.1996,4,3
m17q3,KW,5.132,0.2163,0.4828,0.4828,10,7
m17q3,INST,3.18,0.134,0.2992,0.2992,4,2
m17q3,BG,1.956,0.0824,0.184,0.184,4,3
m17q4,KW,0.978,0.0412,0.04,0.04,1,0
m17q4,INST,18.945,0.7983,0.7748,0.7748,19,16
m17q4,BG,4.159,0.1753,0.1701,0.1701,15,14
m17q5,KW,0.0,0.0,0.0,0.0,0,0
m17q5,INST,3.911,0.1648,0.6035,0.6035,13,10
m17q5,BG,2.567,0.1082,0.3961,0.3961,10,9
m18q1,KW,18.952,0.7986,0.7636,0.7636,18,14
m18q1,INST,0.981,0.0413,0.0395,0.0395,3,2
m18q1,BG,3.911,0.1648,0.1576,0.1576,11,10
m18q2,KW,21.271,0.8963,0.7982,0.7982,19,15
m18q2,INST,1.222,0.0515,0.0459,0.0459,2,1
m18q2,BG,3.422,0.1442,0.1284,0.1284,8,7
m18q3,KW,16.268,0.6855,0.7151,0.7151,14,11
m18q3,INST,5.011,0.2112,0.2203,0.2203,2,0
m18q3,BG,0.489,0.0206,0.0215,0.0215,4,3
m18q4,KW,67.229,1.0,0.7902,0.7902,11,10
m18q4,INST,11.49,0.4842,0.135,0.135,18,15
m18q4,BG,2.81,0.1184,0.033,0.033,9,8
m18q5,KW,0.0,0.0,0.0,0.0,0,0
m18q5,INST,6.966,0.2935,0.6333,0.6333,9,6
m18q5,BG,4.035,0.17,0.3668,0.3668,8,7
m19q1,KW,16.263,0.6853,0.6363,0.6363,29,25
m19q1,INST,0.858,0.0362,0.0336,0.0336,1,0
m19q1,BG,8.067,0.3399,0.3156,0.3156,19,18
m19q2,KW,23.834,1.0,0.8552,0.8552,26,22
m19q2,INST,0.734,0.0309,0.0263,0.0263,1,0
m19q2,BG,2.813,0.1185,0.1009,0.1009,9,8
m19q3,KW,6.234,0.2627,0.4112,0.4112,15,12
m19q3,INST,5.012,0.2112,0.3306,0.3306,5,3
m19q3,BG,2.933,0.1236,0.1935,0.1935,13,12
m19q4,KW,51.951,1.0,0.7456,0.7456,12,11
