group,subject,q,fixation_count,saccade_count,total_duration_ms,kw_fix_duration_ms,inst_fix_duration_ms,bg_fix_duration_ms,kw_time_ratio,inst_time_ratio,bg_time_ratio,ttff_ms,ttff_ms_is_missing,scanpath_length,fixation_dispersion,revisit_kw_count,avg_revisit_interval,roi_trans_total,trans_kw_inst,trans_kw_bg,trans_inst_bg,fixation_amplitude_mean_deg,saccade_amplitude_mean_deg,saccade_maxvel_mean,saccade_meanvel_mean,RR_1D_x,DET_1D_x,ENT_1D_x,RR_2D_xy,DET_2D_xy,ENT_2D_xy
control,control_group_19,4,17,18,22854.0,20287.0,1833.0,0.0,0.887678305767043,0.0802047781569965,0.0,0.0,0,48.17122791775182,18.515901922205767,1,2567.0,2,2,0,0,7.11198107990592,2.67617932876399,60.01650844594628,57.85272187520512,0.2489694142251,0.9003311525724901,3.055664662806266,0.2094753564318607,0.9191705865412306,2.8657517334969147
control,control_group_20,4,13,18,21144.0,18090.0,2445.0,0.0,0.8555618615209989,0.1156356413166855,0.0,611.0,0,33.96357199733322,17.17925134079453,2,1527.0,3,3,0,0,4.575275109376339,1.8868651109629568,48.950548984919486,48.39590142976324,0.1716869798242675,0.8553204262344289,2.24192467247983,0.0799556803834162,0.7924589107315501,2.097734049213775
control,control_group_21,4,53,898,21540.99999999999,2507.999999999999,3253.0,2327.0,0.1164291351376445,0.1510143447379416,0.108026554013277,177.0,0,759.5848203006777,19.41570501389265,6,3172.1666666666647,18,4,9,5,1.7091227178785755,0.8458628288426255,90.3532011418104,75.93954291125522,0.0862940988721546,0.9634446990112452,4.163145342540046,0.0393528237894529,0.9623003059272264,3.960222378302478
control,control_group_3,4,11,18,24198.0,21021.0,2687.000000000001,0.0,0.8687081576989834,0.1110422348954459,0.0,0.0,0,24.210742603838693,18.080371330883203,1,3177.0,2,2,0,0,8.55248603170024,1.3450412557688165,49.87688733157303,47.37912144656006,0.201969068877551,0.931320307874482,3.268321700913413,0.1602359693877551,0.9388059701492536,3.446726709414476
control,control_group_4,4,26,39,30564.0,22982.0,6481.0,122.0,0.7519303756052873,0.2120468525062164,0.0039916241329668,122.0,0,63.117754274944886,15.326090290736223,4,1895.5,7,6,1,0,6.268851854325693,1.6184039557678176,54.32567571832147,53.012692153957886,0.1321042730448804,0.899422247538449,2.7324747466074744,0.0759473259876377,0.853927813163482,2.4083962178615197
control,control_group_5,4,13,12,17966.0,11365.999999999998,5990.0,0.0,0.6326394300345095,0.333407547589892,0.0,367.0,0,39.86950050318951,15.360857808674083,2,3300.000000000001,4,4,0,0,8.689972657122691,3.322458375265793,65.72391809849468,61.30964937832616,0.1785424553812871,0.9223778871639532,2.9391492049617183,0.0879529475392103,0.8962336664104535,2.7388756235851424
control,control_group_6,4,21,30,20291.0,12956.0,6110.999999999998,490.0,0.6385096840963974,0.3011680055196884,0.0241486373268936,123.0,0,44.08293956691243,18.302960036380217,4,1833.75,8,4,3,1,10.574928807255665,1.469431318897081,61.765036215718624,59.07554686423289,0.092697827991285,0.8415313787254665,2.536479845970801,0.05078502279823,0.8345864661654135,2.3268667007119874
control,control_group_7,4,18,25,33245.0,27258.0,5499.0,0.0,0.8199127688374191,0.165408332080012,0.0,0.0,0,33.84640483644176,12.3714392747226,1,5987.0,2,2,0,0,10.835286923118453,1.3538561934576705,48.06110287852163,47.63830022638201,0.1630755608028335,0.8813186813186813,2.5792657242562247,0.0733892730645977,0.8135593220338984,2.250006031839821
control,control_group_8,4,12,14,22493.0,14058.0,7702.0,0.0,0.6249944427155115,0.3424176410438803,0.0,244.0,0,56.877737575000616,15.780434906731026,2,4217.5,3,3,0,0,8.865004591090331,4.062695541071473,62.82297759512277,61.339207122563145,0.1535858479777824,0.9118674973408296,3.1002224050293545,0.100889168942099,0.9310663890816564,3.1119949135087226
control,control_group_9,4,15,22,28476.0,19555.0,8797.0,0.0,0.6867186402584633,0.3089268155639837,0.0,2199.0,0,6.850937882217298,18.74974501822265,2,4460.5,3,3,0,0,11.404025403086774,0.3114062673735135,42.37032039845669,42.2002638242259,0.1184840721764312,0.9215041128084608,3.0603225794034783,0.0889117843617732,0.9379893517068588,3.5861369261063385
