ADQ_ID,EventType,StartIndex,EndIndex,Duration_ms,Amplitude_deg,MaxVel,MeanVel,ROI,group,subject
n21q4,saccade,1718,1719,11.0,0.2590837794999917,23.553070863635607,20.784208607120007,,control,control_group_21
n21q4,saccade,1720,1721,11.0,0.6856452555075375,152.82552589567445,107.57845637999802,,control,control_group_21
n21q4,saccade,1722,1725,33.0,0.42410629799615157,23.30216996333173,15.668663764554609,,control,control_group_21
n21q4,saccade,1726,1726,0.0,0.0,100.97809547267795,100.97809547267795,,control,control_group_21
n21q4,saccade,1727,1730,34.0,0.4106851027247036,18.40121259591317,14.867571026334783,,control,control_group_21
n21q4,saccade,1731,1731,0.0,0.0,46.72211987860164,46.72211987860164,,control,control_group_21
n21q4,saccade,1732,1732,0.0,0.0,11.020213584046992,11.020213584046992,,control,control_group_21
n21q4,saccade,1733,1736,34.0,0.8367621619074309,192.99623595867052,123.76506607618465,,control,control_group_21
n21q4,saccade,1737,1740,34.0,0.7272058143331976,32.45386385838874,21.397918435716797,,control,control_group_21
n21q4,saccade,1741,1741,0.0,0.0,91.80398893294333,91.80398893294333,,control,control_group_21
n21q4,saccade,1742,1743,11.0,0.03342409310661561,4.950951928669668,3.9947529237264527,,control,control_group_21
n21q4,saccade,1744,1744,0.0,0.0,104.66995263744005,104.66995263744005,,control,control_group_21
n21q4,saccade,1745,1749,44.0,1.2065451976614885,39.111586838173864,24.603291844185378,,control,control_group_21
n21q4,saccade,1750,1750,0.0,0.0,113.6571948906587,113.6571948906587,,control,control_group_21
n21q4,saccade,1751,1753,22.0,0.49372859994130114,39.39237433818866,21.538143630792206,,control,control_group_21
n21q4,saccade,1754,1756,23.0,3.243662215274579,371.37655701123686,236.61778118122422,,control,control_group_21
n21q4,saccade,1757,1758,12.0,0.10964955266666951,14.739458877448797,11.938460799835628,,control,control_group_21
n21q4,saccade,1759,1759,0.0,0.0,46.05978540337472,46.05978540337472,,control,control_group_21
n21q4,saccade,1772,1775,45.0,9.057783062736716,241.64373243475524,129.13537165628094,,control,control_group_21
n21q4,saccade,1776,1778,22.0,0.4796996998122883,29.161406965342774,28.415961906957012,,control,control_group_21
n21q4,saccade,1779,1780,10.0,0.4258048496670767,141.3283794925844,91.95443222964603,,control,control_group_21
n21q4,saccade,1781,1781,0.0,0.0,19.744553679432666,19.744553679432666,,control,control_group_21
n21q4,saccade,1782,1787,56.0,4.011500260201912,199.45976011249024,111.06595299455579,,control,control_group_21
n21q4,saccade,1788,1788,0.0,0.0,22.66158507290543,22.66158507290543,,control,control_group_21
n21q4,saccade,1789,1789,0.0,0.0,52.009574865460806,52.009574865460806,,control,control_group_21
n21q4,saccade,1790,1790,0.0,0.0,19.54269553465777,19.54269553465777,,control,control_group_21
n21q4,saccade,1791,1791,0.0,0.0,83.72469394903479,83.72469394903479,,control,control_group_21
n21q4,saccade,1792,1793,11.0,0.15832857480568835,14.596140757063207,14.494823778790165,,control,control_group_21
n21q4,saccade,1794,1795,11.0,0.49971847474352993,81.81420244868278,63.6215773490473,,control,control_group_21
n21q4,saccade,1796,1798,23.0,0.27524832424558077,15.231234355757133,12.047765760804124,,control,control_group_21
n21q4,saccade,1799,1799,0.0,0.0,163.21596738064588,163.21596738064588,,control,control_group_21
n21q4,saccade,1800,1806,66.0,0.8363160581980946,25.528733058462173,19.598959949498447,,control,control_group_21
n21q4,saccade,1807,1807,0.0,0.0,144.51494914021896,144.51494914021896,,control,control_group_21
n21q4,saccade,1808,1808,0.0,0.0,10.671958621848301,10.671958621848301,,control,control_group_21
n21q4,saccade,1809,1809,0.0,0.0,55.8124214380351,55.8124214380351,,control,control_group_21
n21q4,saccade,1810,1811,11.0,0.302059331920072,27.459939265461088,21.41346751256483,,control,control_group_21
n21q4,saccade,1812,1812,0.0,0.0,200.70534010610535,200.70534010610535,,control,control_group_21
n21q4,saccade,1813,1815,23.0,0.41730334290537474,28.520263348847276,22.30151815769106,,control,control_group_21
n21q4,saccade,1816,1816,0.0,0.0,84.88138679824563,84.88138679824563,,control,control_group_21
n21q4,saccade,1817,1818,11.0,0.1494734036542936,13.588491241299417,12.323926092042461,,control,control_group_21
n21q4,saccade,1819,1819,0.0,0.0,51.38824887378482,51.38824887378482,,control,control_group_21
n21q4,saccade,1838,1838,0.0,0.0,54.536482716686336,54.536482716686336,,control,control_group_21
n21q4,saccade,1839,1845,67.0,0.4767987801997799,36.49837021154686,14.690299800728793,,control,control_group_21
n21q4,saccade,1846,1846,0.0,0.0,84.52805891419531,84.52805891419531,,control,control_group_21
n21q4,saccade,1847,1851,45.0,0.33804388176685035,10.613115852527502,7.80880664451165,,control,control_group_21
n21q4,saccade,1852,1853,11.0,3.8475944325253413,349.7813120477583,198.08305120451706,,control,control_group_21
n21q4,saccade,1854,1857,34.0,0.10297125812575533,24.155536298834324,16.377769594723365,,control,control_group_21
n21q4,saccade,1858,1858,0.0,0.0,102.81859850409955,102.81859850409955,,control,control_group_21
n21q4,saccade,1869,1869,0.0,0.0,117.82437039933625,117.82437039933625,,control,control_group_21
n21q4,saccade,1870,1875,55.0,0.8201756155848565,25.91435257577313,16.296937662520566,,control,control_group_21
n21q4,saccade,1876,1876,0.0,0.0,160.76817990330517,160.76817990330517,,control,control_group_21
n21q4,saccade,1877,1882,55.0,0.2861557198449829,25.25370075162988,11.20292132977527,,control,control_group_21
n21q4,saccade,1883,1883,0.0,0.0,54.57806761385766,54.57806761385766,,control,control_group_21
n21q4,saccade,1884,1884,0.0,0.0,36.97737957184079,36.97737957184079,,control,control_group_21
n21q4,saccade,1885,1888,122.0,2.831307812866697,179.3933979721663,137.43713792337036,,control,control_group_21
n21q4,saccade,1889,1892,33.0,0.20472604914861214,16.75596324095546,10.03010615228764,,control,control_group_21
n21q4,saccade,1893,1893,0.0,0.0,95.26059126382695,95.26059126382695,,control,control_group_21
n21q4,saccade,1909,1909,0.0,0.0,245.60111611720475,245.60111611720475,,control,control_group_21
n21q4,saccade,1910,1911,11.0,0.022387076629164684,30.367009937791657,16.201099361130588,,control,control_group_21
n21q4,saccade,1912,1913,12.0,1.2048152090673512,324.52364374381204,212.46245558304565,,control,control_group_21
n21q4,saccade,1924,1924,0.0,0.0,53.07971653501935,53.07971653501935,,control,control_group_21
